ID,FBO,PHONE,Email,FBO NOTES
KTME,Henriksen Jet Center,281-945-5000,hjc@houstonexecutiveairport.com,
KBTV,Heritage Aviation,802-863-3626,csr@flyheritage.com,
KLWC,Hetrick Air Svcs,785-842-0000,lloyd@hetrickairservices.com,
KEDC,hHenriksen Jet Center,512-247-7678,csr@austinexecutiveairport.com,
KLWS,Hillcrest Aircraft,208-746-8271,fbo@hillcrestaircraft.com,
KHIO,Hillsboro Aviation,503-648-2831,fbo@hillsboroaviation.com,971-998-0891
KGTF,HOLMAN AVIATION,1-800-843-7613,flightlineops@holmanaviation.com,
KIGX,HORACE WILLIAMS AIRP,919-962-1337,919-962-7969,
KCPK,Horizon Aviation Svcs,757-421-9000,info@horizon-aviation.com,
KMMH,HOT CREEK AVIATION,760.924.9127,760.934.7331,
SLVR,Hotel Los Tajibos At Santa Cru,591-2-421000,,Owner Jorge And Luz Maria Calvo
CYHU,HUB FBO,450-468-4400,rampoperations@hubfbo.com,
KEOS,HUGH ROBINSON NEOSHO,417-451-8098,417-451-8065,
KBRO,Hunt Pan Am Aviation,956-542-9111,huntpanam@gmail.com,
KHTS,Huntington Jet Center,304-453-6165,,
CYZR,HURON AVIATION,519-542-7767,rhughes@sarniaairport.com,
MKJS,IAM Jet Centre,876-979-3855,mbj@iamjetcentre.com,Andre' Lawrence-Ops Coordinator email: mbj@iamjetcentre.com  
TGPY,IAM JET CENTRE,1 4734399731,gndops@iamjetcentre.com,After hours contacts (send email also): Gabriela Kozub 473-534-3538; Jerome Francis 473-536-8538; Keshia Lessey 473-418-0538; Jarryd Holdip 473-422-0538 - O/T FEES: FBO: $250; AIRPORT: $100/HR
TLPL,IAM JET CENTRE,246-428-1704,aviation@iamjetcentre.com,
LEMD,IBERIA,011-34-1-495-8566,,
GCXO,IBERIA AIRPORT SVCS,34-922-635-861,tfncicops@iberia.es,Contact Dider Tache
MMAA,ICCS,011-52-74-44-669-306,iccsops@iccs.com.mx; customerservice@iccs.com.mx,
MMCN,ICCS,011-52-5395-9049,iccsops@iccs.com.mx; customerservice@iccs.com.mx,
KBMI,IMAGE AIR,(309) 663-2303,(309) 663-8885,
KIMM,IMMOKALEE REGL.ARPT.,239-657-9003,239-657-9191,
KIDP,Independence Airport,620-332-2531,airport@independenceks.gov,After Hours 620-330-2948
VOHY,Indian Airlines,91-842-448,0,Hotel Krishana O'Beroi 91-40-3392323
CYQT,INNOTECH AVIATION SVCS,807-475-5915,admin@maintair.com,
KPUW,Inter-State Aviation,509-332-6596,interstate@pullman.com,
KSMF,INTERNATIONAL AIRPOR,916-874-0720,,
KTMB,INTERNATIONAL FLIGHT,305-238-8122,reception@ifcmiami.com,
KIOW,IOWA CITY FLYING SER,319-338-7543,319-338-6632,
CYYR,IRVING AVIATION SVS,709-896-9090,iagsbay@irvingoil.com,
MWCB,Island Air,809-948-1656,,
KDKB,J.A.JET CENTER,815-756-3244,815-748-2072,
KJAC,JACKSON HOLE AVIATIO,307-773-4767,307-734-4671,
KIJX,JACKSONVILLE AIRPORT,217-243-5824,217-243-7954,
KVQQ,JACKSONVILLE JETPORT,904-317-6550,customersfirst@jaxjetport.aero,has crew lounge
KJVL,Janesville Jet Ctr,608-758-1037,janesvillejet@aol.com,
VHHH,Jardair,276-96553,233-33519,Contact Ringo Chui
MTCH,JCI AVIATION SERVICES,011-509-3656-2166,011-509-3702-2166,**AIRPORT CLOSES AT SUNSET**
KJEF,Jefferson City Flying Svc,573-636-5118,mail@jcfs.net,
KBPT,JEFFERSON COUNTY AIR,1-409-722-9203,1-409-722-3798,
EHAM,JET AVIATION,31-20-226-0150,amsfbo@jetaviation.com,
EHRD,JET AVIATION,31-010-2984949,rtmfbo@jetaviation.com,
KBED,JET AVIATION,800.538.0233,781-274-6573,PIP Phillips-into-Plane
KCPS,Jet Aviation,618-646-8262,cpsfbo@jetaviation.com,618-646-8000
KDAL,Jet Aviation,214-350-8523,dalfbo@jetaviation.com,
KHOU,Jet Aviation,713-358-9100,houfbo@jetaviation.com,
KPBI,JET AVIATION,561-233-7200,pbifbo@jetaviation.com,
KVNY,Jet Aviation,818-722-5102,vnyfbo@jetaviation.com,
LFSB,Jet Aviation,50-061-325-2040,,
MYCI,JET AVIATION,242-344-2006,,
OEJN,Jet Aviation,966-2-685-0400,966-2-685-0405,
OERK,Jet Aviation,966-1-221-4200,966-1-220-1927,Contact Abrasco
TFFF,JET AVIATION,011-596-596-422200,jetaviationfdf@hotmail.com,Need to request landing permit through website. See sharepoint for instructions. 
KCXY,JET CENTER,717-774-0145,717-774-3338,
YSSY,Jet Center,612-693-2855,612-669-2204,
KBKV,JET ICU,352-796-2540,ops@jeticu.com,
KTPA,JET ICU - TANK,352-796-2540,OPS@JETICU.com,
MYNN,Jet Nassau,242-377-3355,JNAS@JETAVIATIONNASSAU.COM,Call Ambu Co;  Ship at anchor - CCL has tender; Port 10 mi from airport
KFPR,JET SERVICE CENTER,772-464-6687,772-464-0299,
TNCA,JET TNCA,+297-588-2465,ops@jet-tnca.com,
KSNS,JET WEST,831-422-9400,customerservice@jetwestsns.com,
KTEB,JET-AVIATION,1-201-462-4000,tebfbo@jetaviation.com,Customs will come to FBO - Fuel is PIP
SEGU,JetHandling,593-2-225-9431,dispatch@jethandling.com,after-hours: 593-992-445405
SELT,JetHandling,593-2-225-9431,dispatch@jethandling.com,after-hours: 593-992-445405
SEMT,JetHandling,593-2-225-9431,dispatch@jethandling.com,after-hours: 593-992-445405
SEQM,JetHandling,593-2-225-9431,dispatch@jethandling.com,after-hours: 593-992-445405
SEST,JetHandling,593-2-225-9431,dispatch@jethandling.com,after-hours: 593-992-445405
CYHM,JETPORT INC.,905-679-2400,info@jetport.com,
KSUX,JETSON AVIATION,712-258-6563,712-258-7584,
KRIW,Jim's Aircraft Svc,307-856-3599,wy.aircraft@yahoo.com,
KSAN,JIMS AIR,619-298-7704,619-298-7021,
KTNU,JOHNSON AVIATION,515-792-1292,,
KOAK,KAISERAIR,800-538-2625,oak@kaiserair.com,COLT - OR VOLUME DISCOUNTS
KTOP,KANSAS AIR CENTER,785-234-2602,,
KOJC,KC AV CENTER,913-782-0530,info@kcac.com,After Hours 913-302-9129
KENW,KENOSHA JET CENTER,262-658-0030,262-658-0033,
KASH,KEYSON AIRWAYS,800-247-0102,,
KOXC,KEYSTONE AVIATION,203-264-6525,,
KGSO,KOURY AVIATION,1-336-279-7997,336-668-4434,
EDDS,KURZ AVIATION SERVICE,011-49-711-948-3482,operation@kurz-aviation-service.com,
KLRD,LABATA SERVICES,956-718-0033,956-726-0685,
KAIZ,LAKE AVIATION,573-348-5251,573-348-4714,LEE C FINE MEMORIAL
CYLS,LAKE SIMCOE REG. AP.,705-487-0999,info@lakesimcoeairport.com,
KADM,Lakeland Aviation,580-389-5000,lakeland@brightok.net,
KARV,LAKELAND AVIATION,715-356-3891,715-356-2740,$25.00 after hours fee
KLKR,LANCASTER AVIATION,803-285-1513,,
KFSD,LANDMARK,800.888.1646,605.336.8009,
KORF,LANDMARK AVIATION,800-486-4041,757-857-3409,
KCMH,LANE AVIATAION,614-237-3747,lineservice@laneaviation.com,After Hours 614-237-7290
KALN,LANGA AIR,800-624-9068,618-258-1007,
KLAW,Lawton Aviation Svcs,580-351-2900,las@flylawton.org,After Hours 580-585-2696
KLGU,Leading Edge Aviation,435-752-5955,lineservices@leaviation.com,
KSPW,LEADING EDGE AVIATION,712-262-1000,spencerairport@smunet.net,
KLXV,Leadville Airport,719-486-0307,lxv9934@co.lake.co.us,After Hours 719-427-0026
KTUL,Legacy Jet Center,918 836 0222,csr@legacytulsa.com,Tel After Hours 918 200 2299
KPRC,Legend Aviation,928-443-9333,info@legend-aviation.com,
KABE,Lehigh Valley Aviation,610-266-7343,h7desk@lnaa.com,After Hours 1 800 359 5842
KLGB,LGB AIR CENTER,562-425-8880,562-425-8838,
SBEG,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBGL,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBGR,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBJR,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBRF,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBRJ,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
SBSP,LIDER AVIACAO,55-11-5090-4016,lider.ops@lideraviacao.com.br,
TQPF,LLOYD'S AVIATION,264-498-4141,lloydsav@msn.com,
KFOK,LONG ISLAND JET CTR,877-359-2365,516-288-8424,
KLNN,LOST NATION AVIATION,440-953-2992,,
KRSN,LOUISIANA ACFT INC,318-251-9098,318-251-1749,
KLOU,Louisville Exec Aviation,502-292-4800,info@louisvilleexecutive.com,
KMCN,LOWE AVAITION,1-478-788-3941,1-478-788-2274,NIGHT #S ON DOOR
KBFL,LOYDS AVIATION SERVI,80-284-1334,805-393-0824,
LPPT,LPPT PTS,351-1-848-9011,351-1-840-2390,
EPKK,LS AIRPORT SVCS,48-12-639-37-36,kzkrk@lsas.aero,
KARR,LUMANAIR,800-522-8778,630-466-1046,
KLBT,Lumberton Municipal,910-739-6480,dewayne.allen@ci.lumberton.nc.us,
KLBL,LYDON AERO CENTER,800-659-1646,jen@lyddonaero.com,
KMMU,Lynx,973-401-1900,mmu@lynxfbo.com,
KPSF,LYON AVIATION,413-443-6700,413-499-4335,
KSQI,M & M AVIATION,815-622-3591,815-622-3592,
KCDW,MAC DAN AVIATION,888-622-3268,973-227-8339,
KSBM,MAGNUS AVIATION,920-467-6151,920-467-8611,
KAUG,MAINE INSTRUMENT,888-643-3597,207-622-7858,
MMCE,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,"Major CF issues…security, dogs, trying to tax ambu equipment.  Be patient, bring $$."
MMCM,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMCU,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMCZ,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,Costamed Pts-Contact hosp. for ambu $300 cash - patientservices@costamed.com.mx /855-294-2337
MMMD,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMMM,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMMY,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMMZ,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMPR,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMSD,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMSL,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMTO,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMUN,MANNY AVIATION,011-52-722-273-0981,ops@mannyaviation.com,
MMZH,MANNY AVIATION,52-722-273-0981,ops@mannyaviation.com,
MMZO,MANNY AVIATION,52-722-273-0981,ops@mannyaviation.com,
KSTS,MANNY'S SONOMA,707-528-7400,707-528-7458,
MPMG,MAPIEX INTL,507-315-0281,fbo@mapiex.com,
KISM,MARATHON,800-327-9123,,
KMTH,MARATHON JET CENTER,305-743-1995,305-743-6635,
KBBP,MARLBORO COUNTY,843-454-2303,,
KMTN,MARTIN STATE-AVITAT,410-682-8810,410-682-8822,
KATW,MAXAIR,800-833-1544,920-738-3026,$2.26 / GAL
KM91,MC CAULEY AVAITION,615-384-4181,615-384-7560,
KYKM,MCCORMICK AIR CENTER,509-248-1680,theresa@mccormickaircenter.com,
KMFE,MCCREEY AVIATION,800-999-6195,956-686-3221,
KCAK,MCKINLEY AIR,(800) 225-6446,csr@mckinleyair.com,After Hours 330-499-3316
TJPS,Mecedita Flt.,787-842-5903,0,Contact Jose
KBUR,MEDIA AVIATION,818-843-8311,,
KMEZ,MENA AIR CENTER,479-394-5800,479-394-4077,
KBLF,MERCER COUNTY,304-327-8440,,
KFAT,MERCURY AIR CENTER,559-454-7501,559-456-8919,
KJAN,MERCURY AIR CENTER,601-939-9366,601-932-0519,
KONT,MERCURY AIR CENTER,909-390-2370,909-790-4508,FUELING 24HRS
OKBK,MERCURY AIR GROUP,965-4379016,965-4379127,
KFAY,METRO AIR,910-433-1754,910-484-4577,Call Tower after hours
KCEF,METRO AIR SERVICE,413-593-5543,sales@westoverairport.com,
KPTK,Michigan Aviation,248-666-3440,michiganaviation@aol.com,
KACY,MID ATLANTIC,609-383-3993,609-383-0051,
KMBS,MID MICH AIRCRAFT,517-695-2554,517-695-5010,
KLWV,MID-AMERICA AIR,618-943-5733,618-943-7508,
KAAO,Midwest Aviation,316-636-9700,customerservice@midwestaviation.com,After Hours 316-215-4219
KMWA,Midwest Aviation,618-993-2764,frontdeskmwa@midwestaviation.net,
KPAH,MIDWEST AVIATION SER,270-744-8600,midwestaviation@midwestaviation.net,After Hours 270-519-7507
KSGF,Midwest Premier SGF,417-868-0590,ga@flyspringfield.com,
CYVR,MILLION AIR,800.306.6688,info.cyvr@millionair.com,
KALB,MILLION AIR,1-518-242-2444,1-518-242-2488  - info.alb@millionair.com,
KFOE,MILLION AIR,785-862-0950,785-862-9215,pre arrange after hours
KGPT,MILLION AIR,228-701-0400,info.gpt@millionair.com,
KSYR,MILLION AIR,1-315-937-5770,1-315-937-5777,
KTLH,MILLION AIR,1-850-547-5671,info.tlh@millionair.com,
KTUS,Million Air,520-445-6300,tus-csr@millionair.com,After Hours: 520-904-7175
KPSP,MILLIONAIR,(760)320-7704,(760) 322-4586,
KRIC,MILLIONAIR,800-962-5262,804-222-4044,UV-Air  --  $2.20
KRME,MILLIONAIRE,315-736-9404,315-736-3911,
MSLP,MILTAIR AVIATION,011-503-2296-2506,elsalvadorfbo@miltair.com,cell: 503-7987-5312/954-830-6382
KMOT,MINOT INTERNATIONAL,701-857-4738,,
KDTS,MIRACLE STRIP,850-837-6135,850-654-0618,
KJLN,MIZZOU,417-623-1331,wayne@mizzouaviation.com,
TJIG,Modern Air,787-289-2021,CSR.TJIG@modern-aviation.com,closest to port/easier customs for tech
KBFI,MODERN AVIATION,1-206-762-6000,BFI@modern-aviation.com,
KILM,MODERN AVIATION,910-763-0146,ilm@modern-aviation.com,
KBLM,Monmouth Jet Ctr,732-751-0044,fuel@kblm.com,
KMRY,MONTEREY JET CENTER,888.679.2992,813.373.0190,
KGAI,MONTGOMERY,301-977-5200,301-977-3552,
KMGM,MONTGOMERY AVITAT,334-288-7334,334-288-7337,
KEHA,MORTON COUNTY AIRPOR,620-697-4624,,NO AV-FUEL
KHIE,MOUNT WASHINGTON AIR,603-837-3103,,
LFML,MPS,33-442-142-673,0,Contact Martin Heany
KMTJ,MTJ  AIR SERVICES,800-833-7099,970-249-9303,
EGNM,MULTIFLIGHT,44-0113-238-7140,contactus@multiflight.com,after hours 44-0113-238-7169
KMIE,MUNCIE AVIATION COMPANY,765-254-8004,santhony@muncieaviation.com,They Do Not Have Contract Fuel - Credit Card Only
SAWH,Munser ,54-11-45751070,54-11-44800744,www.universalaviation.aero
CYQA,MUSKOKA AIRPORT,705-687-2194,airport@muskoka.on.ca,
KPIR,Mustang Aviation,605-224-9000,info@mustangaviation.aero,
KMYR,MYRTLE BEACH AV,800-474-5697,,PHX FUEL  500+
CYDF,NALAIR,709-635-2481,nalair@nalair.ca,
KACK,NANTUCKET AIRPORT,1-508-325-5307,1508-325-5306,
KAPF,NAPLES AIRPORT AUTH.,239.643.0404,239.643.1791,CALL SECURITY AFTER HRS 239-860-3122
KTOL,NATIONAL FLIGHT,419-866-2995,mailbox@nationalflight.com,4a-12a 7 days
KCCR,NAVAJO AVIATION,925-685-1150,925-685-0238,
U14,Nephi Jet Center,435-610-1057,nephimunicipalairport@gmail.com,Updated 01/29/2020 **Grounds $2000+; Confirm gate code for ambu 2142#
KN57,NEW GARDEN AVIATION,610-268-2048,610-268-0342,
KPSK,NEW RIVER VALLEY,540-674-4141,540-674-4780,
KISP,NEW YORK JET,631-588-4800,631-588-5799,Avfuel
KALO,NIEDERHAUSER,319-234-1783,319-234-7763,pre arrange after hours
KDCU,North Alabama Aviation,256-355-5770,northalaviationfbo@gmail.com,After Hours 256-274-7724
KBNG,NORTH AMERICAN JET,909-849-1776,909-849-8222,
KPWK,NORTH AMERICAN JET,888.359.6244,847.325.1189,
KBVY,North Atlantic Air,978 774 2070,978-921-9433,john@northatlanticair.com
KERI,NORTH COAST AIR,814-836-9220,814-836-9901,
KDLH,NORTH COUNTRY AVIATI,1-218-727-2911,218-727-6937,
KMCW,North Iowa Air Svcs,641-424-9366,info@northiowaair.com,After Hours 641-430-9898
KPNE,NORTH PHIL JET CENTER,215-673-9000,sales@npjetcenter.com,
KMSO,North Star Jet,406-721-8886,info@northstarmso.com,
KPWM,NORTHEAST AIRMOTIVE,207-774-6318,207-874-4714,AMEX
KGRR,NORTHERN AIR,616-336-4700,616-336-4709,
CYSB,NORTHERN AVIATION,705-693-2972,northern.aviation@sympatico.ca,
KPVD,NORTHSTAR AVIATION,401-738-2600,401-739-9996,
KTVL,OASIS AVIATION,530-541-2110,530-541-8695,
KMJX,OCEAN AIRE,732-797-1077,,
KCEU,OCONEE COUNTY REGIONAL AIRPORT,1-864-882-2959 - Fax # 1.864-888-4803,_aeronautics@oconeesc.com,
MYEF,ODYSSEY AVIATION,242-345-0309,info.myef@odysseyaviation.com,
MYEM,ODYSSEY AVIATION,1-242-334-2670,info.myem@odysseyaviation.com,1-242-334-2670 or 1.242.557-0227
MYER,ODYSSEY AVIATION,O: 242-334-2670/C: 242-557-0227,frontdeskeleuthera@odysseyaviation.com; info.myer@odysseyaviation.com,FBO arranges grounds.  Always extra fee for island nurse to accompany.  They need dx.  Handling at least $3500+
SPIM,OGDEN AVIATION SERVI,51-1-810-2014,51-1-574-0204,
KOGS,OGDONSBURG AVATION,315-393-4721,NO FAX,
KOSU,OHIO STATE AVIATION,614-292-5580,614-292-5070,
KHLG,OHIO. CTR,304-277-3499,,
KOBE,OKEECHOBEE JET CENT,863-467-5888,,
KORE,ORANGE MUNICIPAL,978-544-8189,,
KOGB,ORANGEBURG AIRPORT,1-803-534-5545,1-803-533-5928,
KMBL,Orchard Beach Aviation,231-723-8095,orchardbeachaviation@gmail.com,
KPHN,ORZEL AVIATION,810-364-4187,810-364-6634,
KEAR,OTIS AIR SERVICE,316-516-0176,316-684-1953,Phillips into Plane
KGLR,OTSEGO CNTY AIRPORT,517-732-4218,517-732-3825,
KOTM,OTTUMWA FLYING SVC,515-682-8044,515-684-8336,
KBPK,OZARK REG FLT SVC,1870-481-5995,1-870-481-5967,
KCIC,PACIFIC FLIGHT,530-893-6727,530-893-6740,
KMFR,PACIFIC FLIGHTS,541-779-5445,541-772-2759,On call 24 hours
KFMY,PAGE FIELD AV CENTER,800-545-5387,239-936-0933,
KPSN,PALESTINE AVIATION,903-723-0111,None,
KPSM,PAN-AM,800-424-0350,603-427-0324,
KSAC,PATTERSON AVIATION,916-428-8292,916-428-3032,
KCHO,PEIDMONT AVIATION SE,804-978-1474,804-978-4733,
KPLN,PELLSTON REG AIRPORT,231-539-8442,231-539-0936,
KPDT,PENDLETON AVIATION,541.276.3313,541.276.3373,
KUNV,Penn State Aviation Ctr,814-865-4042,bqr3@psu.edu,
KRKD,PENOBSCOT AIR,800-780-6071,207-594-8329,answering service for after hours
KPNS,Pensacola Aviation Center,850-434-0636,csr@pensacolaaviation.com,
KPXE,Perry Houston County,478-987-3713,pxefbo@gmail.com,
KBKX,Pheasant's Fury,605-692-2779,pheasantsfury@gmail.com,
KBVO,PHILLIPS AVAITION,918-661-3121,michael.s.richardson@cop.com,
KVPC,PHOENIX AIR,770-387-2000,770-387-4545,
KOSC,Phoenix Flight Svcs,989-739-8486,fbooperations@phoenix-mi.com,
KJZP,PICKENS COUNTY,706-253-8830,,
KINT,PIEDMONT HAWTHORNE,336-776-6060,336-776-6061,
KJYO,PIEDMONT HAWTHORNE,800-336-0219,,
KROA,PIEDMONT HAWTHORNE,540-563-4401,540-362-5453,
KTOI,PIKE AVIATION,334-566-3470,,
KOGA,PIONEER AVIATION,308-284-4644,308-284-9950,BRAND NEW RUNWAY=5100 FT
KPIH,POCATELLO AVCENTER,208-234-2141,,
KPNC,Ponca City,580-767-0429,nuzumdl@poncacityok.gov,
CYPD,PORT HAWKESBURY AIRP,902-625-2206,hello@celticairservices.com,
KVPZ,PORTER CO. AIRPORT,800-462-6508,219-462-2913,
KFLO,POWERS AVIATION,843.667.9627,,
TBPB,Private Aircraft Svcs,246-420-2833,pasbb@caribsurf.com,updated 1/24/2020
KRSW,PrivateSky,239-225-6100,customer.service@privatesky.net,
KHKY,PROFILE AVIATION,828-322-6044,828-322-8904,
MBGT,Provo Air Center,649-339-4101,concierge@provoaircenter.com,Grand Turk Port Agent: Rostand Malcom @ Grand Turk Cruise Center PO Box 77 Grand Turk;Phone: 1-649-946-1040; Fax: 1-649-946-1041; CELL: 1-649-232-7632; CELL: 1-649-332-1450 Email: agent@grandturkcc.com
MBPV,Provo Air Center,649-339-4101,concierge@provoaircenter.com,
MBSC,Provo Air Center,649-339-4101,concierge@provoaircenter.com,No Lights
KCID,PSAIR,319-846-3600,319-846-3605,
KLAF,Purdue Aviation,765-743-9692,jpittard@purdueaviationllc.com,
KRAC,RACINE COMM.AIRPORT,262-631-5620,262-833-9999,
KBKW,RALEIGH COUNTY AIRPO,1-304-255-0476,304-253-3095,
KTTA,Raleigh Exec Jetport,919-776-2939,info@raleighexec.com,After Hours: 919-708-3065
KCRE,RAMP 66,800-433-8918,843-272-5822,AFTER 1OPM USE BEEPER
KORH,RECTRIX,508-755-5870,orhmail@rectrix.aero,AIRPORT SECURITY AT NIGHT 508-799-1348  ORH
KTDF,RED MOUNTAIN AVITION,336-364-1111,336-364-2224,
KTWF,REEDER FLYING SERVIC,208-733-5920,208-733-4483,
KSTP,REGENT AVIATION,800-523-7583,651-224-1982,
KBYH,REGIONAL AIRPORT AUT,870-532-5628,870-532-5616,
KCOE,Resort Aviation,208-772-3731,ras@resortaviationjet.com,
KXNA,Rgnl Jet Center,479-205-1100,info@rjcfuel.com,
KGFL,Rich Air,518-798-3091,dispatch@flyrichair.com,
KMFD,RICHLAND AVIATION,419-524-4261,,
KPHF,RICK AVIATION,(757) 8745727,757-874-7074,
KRIL,RIFLE JET CENTER,877-358-3378,970-625-4848,Phillips
KCLM,RITE BROS AVIATION,360-452-6226,info@ritebros.com,Customs Landing Rights
KRAL,RIVERSIDE AIR SERVIC,909-689-1160,909-689-1380,Must prearrange after hours fueling
KHVN,ROBINSON AVAITION,203-467-9555,203-467-6346,
KPUB,ROCKY MOUNTAIN FBO,800-645-3987,719-948-4181,
KVIH,ROLLA NATIONAL,573-299-4498,,
KTTN,RONSON AVIATION,609-771-9500,609-771-0885,
SYCJ,RORAIMA AIRWAYS,592-2-259647,592-2-612249,Ken or Mitra
KHPN,ROSS AVIATION,814-761-3000,hpn@rossaviation.com,
KDTN,ROYAL AIR,318-459-9000,,
KSEE,ROYAL JET,619-448-4200,619-448-0100,
KRMG,RUSSELL AIRPORT,706-295-7835,706-234-8076,Call 911 after hours to notify airport
KRUT,RUTLAND AVIATION,802-773-3348,802-775-5696,
MMAS,S E A T,011-52-49167319,avillagran@seat.com.mx,
LIMP,S.O.G.E.A.P. SPA,39-052-1951504,39-052-1992028,
GVAC,SAFE PORT,238-2-413494,sal@safeport.aero,
KOLM,Safety in Motion,360-754-4043,shawn@safetyinmotion.aero,
KSAD,SAFFORD AVIATION,928-428-7670,,
KSUZ,Saline County Rgnl,501-672-9809,airport@salinecounty.org,
KJKA,Salt Air Aviation,251-948-0444,info@saltairaviation.com,
KOXR,SAM'S AIR SERVICE,800-575-7271,805-984-9745,$50.00 call out fee
CYXE,SASKATOON SHELL AEROCENTRE,306-931-8552,csr.yxe@yxeaero.ca,
LPAZ,SATA Air Azores,351-296-820182; 351-917-950-643,smaklsp@sata.pt; smakl01@sata.pt,Jorge Camara - Handling manager
KMSS,SEAWAY VALLEY AVAITI,315-769-7605,,
MDCY,SERVAIR,809-586-0256,ataveras@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,Cell: 809-747-6195
MDJB,SERVAIR,809-826-4073,jbq@servair.com.do; lcuesta@servair.com.do; teresa@jcservair.com; ops@jcservair.com; pcruz@servair.com.do,Cell: 809-747-6184 / 809-747-8525
MDLR,SERVAIR,809-813-9347,fbolrm@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,Cell: Carlos Santana at 1-809-747-2558 - 1.809-747-6174
MDPC,SERVAIR,1-809-959-4293,jteran@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,Jorge Cell: 809-747-6180
MDPP,SERVAIR,809-586-0256; CELL 809-747-6195,fbopop@servair.com.do; ataveras@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,FBO After Hours: 809-706-9603; Port Agent: Kelvin Polanco 809-754-9389 kpolanco@navierasbr.com www.navierasbr.com
MDSD,SERVAIR,809-549-1502,fbo@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,Cell: 809-747-6255
MDST,SERVAIR,809-233-8180,fbosti@servair.com.do; lbencosme@servair.com.do; ops@jcservair.com; pcruz@servair.com.do,Cell: 809-747-8104
LEGR,Servicair,34-58-245245,,
EDDH,SERVICE PEOPLE,011-49-405-93333,ops@service-people.de,
SAEZ,Servicios Aeros,541-313-1378,,Contact: Adolfo Martines
KCNW,SERVION,254-799-5513,servionwaco@aol.com,
LEMG,SERVISAIR,-2048805,-2048804,
LPPD,SERVISAIR,351-296-205469,351-296-205468,
LEZL,SEVILLA AVIATION,011-34-5-425-2228,011-34-5-452-6748,
CYOW,SHELL AERO CENTER,613-736-5959,csr.ottawa@innotech-execaire.com,
CYUL,SHELL AEROCENTRE,514-636-5870,shell.aerocentre@innotech-execaire.com,
CYYJ,SHELL AEROCENTRE,250-655-8833,csr@yyjfbo.com,
KJAX,SHELTAIR,904-741-0904,info-jax@sheltairaviation.com,
KLAL,Sheltair,863-647-3911,Info-LAL@sheltairaviation.com,
KORL,SHELTAIR,407-392-0440,Info-ORL@sheltairaviation.com,
KPBG,SHELTAIR,518-324-4300,518-324-5560,
KPFN,SHELTAIR,850-785-4325,850-872-8684,
KPIE,SHELTAIR,727-530-3453,Info-PIE@sheltairaviation.com,
KOCF,Sheltair Aviation,352-237-3444/352-861-1464,info-ocf@sheltairaviation.com,FBO 6am-9pm; Tower closes t 9pm; Runway is open 24 hours
KECP,SHELTAIR AVIATION SERVICES,1-850-233-4717,1-850-236-6499,After Hours Contact 1-850-630-9748
KFLL,SHELTAIR/AVFUEL ONLY,1-954-359-3200,Info-FLL@sheltairaviation.com,
KSHD,SHENANDOAH AVITAT,540-234-8304,540-234-8538,
KSOW,Show Low Rgnl,928-532-4190,tbahr@showlowaz.gov,After Hours: 928-537-4365
KRNO,SIERRA AIR CENTER,775-856-8900,775-856-8901,
EGBB,SIGNATURE,44-121-782-1999,BHX@signatureflight.co.uk,
EGNX,SIGNATURE,44-1332-811-179,EMA@signatureflight.co.uk,
EGPF,SIGNATURE,44-1418-878348,GLA@signatureflight.co.uk,
EGPH,SIGNATURE,44-0131-317-7447,EDI@signatureflight.co.uk,
EIDW,SIGNATURE,353-844-6144,dub@signatureflight.ie,
EINN,SIGNATURE,353-1-8446144,snn@signatureflight.ie,
KAVL,Signature,828-687-7110,828-687-7120,
KBOS,SIGNATURE,617-569-5260,bos@signatureflight.com,
KBUF,SIGNATURE,1-716-633-1000,1-716-633-1543,
KBWI,SIGNATURE,410-859-8393,410-850-9042,
KDEN,SIGNATURE,888-858-5501,303-342-5903,
KDTW,SIGNATURE,734-941-7880,734-941-5178,
